APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,APMC/Commodity,deseasonalise_price,seasonality_type
Aamgaon,Paddy-Unhusked,2015,April,2728,1441,1442,1412,01-04-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1545.684028,Additive
Aamgaon,Paddy-Unhusked,2016,April,1481,1630,1684,1657,01-04-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1690.809028,Additive
Aamgaon,Paddy-Unhusked,2015,August,5046,1520,1603,1562,01-08-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1524.350694,Additive
Aamgaon,Paddy-Unhusked,2016,August,1819,1598,1713,1667,01-08-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1501.725694,Additive
Aamgaon,Paddy-Unhusked,2014,December,14608,1481,1554,1518,01-12-2014,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1576.392361,Additive
Aamgaon,Paddy-Unhusked,2015,December,14645,1529,1600,1564,01-12-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1525.392361,Additive
Aamgaon,Paddy-Unhusked,2015,February,7674,1481,1530,1505,01-02-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1431.038194,Additive
Aamgaon,Paddy-Unhusked,2016,February,6883,1526,1591,1558,01-02-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1409.871528,Additive
Aamgaon,Paddy-Unhusked,2015,January,16775,1505,1562,1533,01-01-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1476.142361,Additive
Aamgaon,Paddy-Unhusked,2016,January,9539,1489,1558,1523,01-01-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1478.267361,Additive
Aamgaon,Paddy-Unhusked,2015,July,5499,1459,1555,1510,01-07-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1479.767361,Additive
Aamgaon,Paddy-Unhusked,2016,July,1805,1626,1752,1693,01-07-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1481.559028,Additive
Aamgaon,Paddy-Unhusked,2015,June,9312,1348,1369,1339,01-06-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1492.684028,Additive
Aamgaon,Paddy-Unhusked,2016,June,10278,1536,1670,1604,01-06-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1511.809028,Additive
Aamgaon,Paddy-Unhusked,2015,March,5294,1459,1445,1419,01-03-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1529.350694,Additive
Aamgaon,Paddy-Unhusked,2016,March,2908,1602,1664,1633,01-03-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1547.725694,Additive
Aamgaon,Paddy-Unhusked,2015,May,3688,1367,1425,1402,01-05-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1566.392361,Additive
Aamgaon,Paddy-Unhusked,2016,May,10019,1527,1640,1578,01-05-2016,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1578.392361,Additive
Aamgaon,Paddy-Unhusked,2014,November,10153,1438,1577,1507,01-11-2014,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1645.038194,Additive
Aamgaon,Paddy-Unhusked,2015,November,7991,1470,1556,1512,01-11-2015,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1654.871528,Additive
Aamgaon,Paddy-Unhusked,2014,October,2195,1591,1749,1670,01-10-2014,Gondiya,Maharashtra,"Aamgaon,Paddy-Unhusked",1652.142361,Additive
