APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Mumbai,RICE(PADDY-HUS),2016,4562,9381,4819,105.63349408154318
Sangali,RICE(PADDY-HUS),2016,2164,5586,3422,158.13308687615526
Solapur,RICE(PADDY-HUS),2016,2265,5300,3035,133.99558498896246
Karjat (Raigad),RICE(PADDY-HUS),2016,2000,5022,3022,151.1
Kolhapur-Laxmipuri,RICE(PADDY-HUS),2016,2100,4910,2810,133.8095238095238
Lasalgaon,SUNFLOWER,2016,3201,5851,2650,82.78662917838176
Pen,RICE(PADDY-HUS),2016,3550,6053,2503,70.50704225352112
Akola,RICE(PADDY-HUS),2016,3110,5453,2343,75.33762057877813
Vasai,RICE(PADDY-HUS),2016,2098,4359,2261,107.76930409914203
Umared,RICE(PADDY-HUS),2016,2000,4013,2013,100.65
Ulhasnagar,RICE(PADDY-HUS),2016,3459,5313,1854,53.59930615784909
Mangaon(Bhadav),RICE(PADDY-HUS),2016,1813,3627,1814,100.05515719801434
Mahagaon,PIGEON PEA (TUR),2016,5300,7000,1700,32.075471698113205
Kolhapur-Laxmipuri,SORGUM(JAWAR),2016,2372,4044,1672,70.48903878583474
Buldhana,PIGEON PEA (TUR),2016,4333,5767,1434,33.094853450265404
Pune,RICE(PADDY-HUS),2016,3659,5062,1403,38.34380978409401
Akot,SESAMUM,2016,5000,6400,1400,28.0
Phaltan,SORGUM(JAWAR),2016,1638,2941,1303,79.54822954822954
Karmala,SUNFLOWER,2016,1827,3110,1283,70.22441160372195
Kolhapur-Laxmipuri,WHEAT(HUSKED),2016,2140,3418,1278,59.7196261682243
Indapur-Bhigwan,SORGUM(JAWAR),2016,1800,3034,1234,68.55555555555556
Barshi,SORGUM(JAWAR),2016,1790,3013,1223,68.32402234636872
Karmala,SORGUM(JAWAR),2016,1713,2913,1200,70.05253940455341
Mumbai,COCONUT,2016,800,2000,1200,150.0
Nandura,SESAMUM,2016,4784,5967,1183,24.72826086956522
Ulhasnagar,GR.NUT KERNELS,2016,7667,8833,1166,15.20803443328551
Pathardi,COTTON,2016,3875,5000,1125,29.032258064516128
Shirpur,SESAMUM,2016,4523,5630,1107,24.474906035816936
Jalna,SORGUM(JAWAR),2016,1763,2842,1079,61.20249574588769
Nandurbar,SUNFLOWER,2016,2838,3913,1075,37.878787878787875
Murud,RICE(PADDY-HUS),2016,2543,3543,1000,39.32363350373574
Ahmedpur,PIGEON PEA (TUR),2016,4336,5321,985,22.71678966789668
Kurdwadi-Modnimb,SORGUM(JAWAR),2016,1661,2630,969,58.33835039133052
Nira-Saswad,SORGUM(JAWAR),2016,1736,2691,955,55.01152073732719
Ulhasnagar,WHEAT(HUSKED),2016,2000,2953,953,47.65
Mohol,SORGUM(JAWAR),2016,1650,2602,952,57.696969696969695
Mumbai,SPLIT BLACK GRAM,2016,9228,10176,948,10.273081924577372
Latur,WHEAT(HUSKED),2016,1699,2631,932,54.85579752795762
Sangali,SORGUM(JAWAR),2016,1943,2873,930,47.864127637673704
Baramati,SORGUM(JAWAR),2016,1675,2605,930,55.52238805970149
Sangali,WHEAT(HUSKED),2016,1940,2869,929,47.88659793814433
Kada,WHEAT(HUSKED),2016,1711,2635,924,54.003506721215665
Amarawati,SESAMUM,2016,6319,7238,919,14.543440417787625
Alibag,RICE(PADDY-HUS),2016,3324,4239,915,27.52707581227437
Palghar(Bevur),RICE(PADDY-HUS),2016,2569,3473,904,35.188789412222654
Kada (Ashti),SORGUM(JAWAR),2016,1825,2725,900,49.31506849315068
Kada,SORGUM(JAWAR),2016,1930,2820,890,46.1139896373057
Ahmedpur,SESAMUM,2016,4043,4929,886,21.914419985159537
Mangrulpeer,PIGEON PEA (TUR),2016,4951,5835,884,17.854978792163198
Ambad(Vadi Godri),WHEAT(HUSKED),2016,1670,2544,874,52.33532934131737
Phaltan,BAJRI,2016,1340,2205,865,64.55223880597015
Hingoli,PIGEON PEA (TUR),2016,5215,6066,851,16.3183125599233
Latur,PIGEON PEA (TUR),2016,5098,5944,846,16.594743036484896
Indapur,WHEAT(HUSKED),2016,1711,2551,840,49.09409701928697
Kolhapur-Laxmipuri,SPLIT BLACK GRAM,2016,11367,12200,833,7.328230843670274
Kalamb (Os),NIGER-SEED,2016,2100,2931,831,39.57142857142857
Gangakhed,COTTON,2016,4160,4989,829,19.927884615384617
Nira-Saswad,RICE(PADDY-HUS),2016,2700,3525,825,30.555555555555557
Indapur-Bhigwan,BAJRI,2016,1371,2191,820,59.81035740335521
Akola,WHEAT(HUSKED),2016,2057,2861,804,39.08604764219737
Phaltan,WHEAT(HUSKED),2016,1500,2296,796,53.06666666666667
Bhivandi,RICE(PADDY-HUS),2016,2092,2877,785,37.523900573613766
Pathardi,WHEAT(HUSKED),2016,1620,2400,780,48.148148148148145
Dound,BAJRI,2016,1237,2012,775,62.65157639450283
Jamkhed,SORGUM(JAWAR),2016,2025,2800,775,38.27160493827161
Indapur-Bhigwan,WHEAT(HUSKED),2016,1700,2456,756,44.470588235294116
Shirala,PADDY-UNHUSKED,2016,1500,2250,750,50.0
Amarawati,SUNFLOWER,2016,4870,5609,739,15.174537987679672
