APMC,Commodity,Year,min_price,max_price,absolute_fluctuation,relative_fluctuation
Atpadi,Goats,2016,4000,1600090,1596090,39902.25
Mumbai,Cashewnuts,2015,70000,140000,70000,100.0
Mumbai,Cardamom,2016,86471,152941,66470,76.86970198101098
Sangli-Phale Bhajipalam,Mango,2016,17422,83075,65653,376.8396280564803
Mumbai,CARDAMOM,2016,110313,174375,64062,58.07293791302929
Mumbai,Cardamom,2015,93420,156473,63053,67.49411260971955
Mumbai,Cardamom,2016,84286,145714,61428,72.88043091379352
Mumbai,Cardamom,2015,95000,154167,59167,62.281052631578945
Mumbai,Cashewnuts,2015,62905,119048,56143,89.25045703839122
Umarkhed,Pigeon Pea (Tur),2016,5800,61200,55400,955.1724137931035
Mumbai,Cardamom,2015,61718,113376,51658,83.70005508927703
Mumbai,Cardamom,2015,70000,120800,50800,72.57142857142857
Mumbai,Cardamom,2015,84667,134667,50000,59.054885610686576
Mumbai,Cashewnuts,2015,62391,111304,48913,78.39752528409547
Mumbai,Cardamom,2014,72667,120952,48285,66.44694290393163
Khamgaon,Buffalo,2016,20000,68000,48000,240.0
Mumbai,Cashewnuts,2016,87895,133684,45789,52.095113487684166
Mumbai,Cardamom,2015,83333,128333,45000,54.000216000864
Mumbai,Cardamom,2015,90000,134375,44375,49.30555555555556
Mumbai,Cashewnuts,2015,45769,90000,44231,96.63964692258952
Mumbai,Cardamom,2014,80000,124000,44000,55.0
Mumbai,Cardamom,2016,50333,92667,42334,84.10784177378657
Mumbai,Cashewnuts,2014,52632,94526,41894,79.59796321629427
Mumbai,Cashewnuts,2016,69087,110435,41348,59.84917567704488
Mumbai,Cardamom,2016,40000,80000,40000,100.0
Mumbai,Cardamom,2016,70000,110000,40000,57.142857142857146
Mumbai,Cardamom,2016,50000,90000,40000,80.0
Mumbai,Cardamom,2016,53636,93636,40000,74.57677679170706
Mumbai,CASHEWNUTS,2016,66154,106154,40000,60.464975662847294
Mumbai,Cardamom,2016,40000,80000,40000,100.0
Gadhinglaj,Chillies(Red),2015,5683,45114,39431,693.8412810135492
Mumbai,Cardamom,2014,77333,116667,39334,50.86315027219945
Mumbai,Cashewnuts,2014,52381,91429,39048,74.54611404898723
Mumbai,Cardamom,2015,41000,80000,39000,95.1219512195122
Mumbai,Cardamom,2016,41214,80000,38786,94.1087979812685
Gadhinglaj,Chillies(Red),2014,5444,42556,37112,681.704628949302
Mumbai,Cardamom,2015,53000,90000,37000,69.81132075471699
Mumbai,Cashewnuts,2015,60000,96923,36923,61.538333333333334
Gadhinglaj,Chillies(Red),2015,6233,42856,36623,587.5661800096262
